"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data",
"AUT","Austria","Austria","Republic of Austria","AT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","AT","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers.","","Income survey (IS), 2000","Yes","2010","2009","2012","2002",
"AZE","Azerbaijan","Azerbaijan","Republic of Azerbaijan","AZ","New Azeri manat","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.","Europe & Central Asia","Upper middle income","AZ","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1992–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2009","Demographic and Health Survey (DHS), 2006","Expenditure survey/budget survey (ES/BS), 2012","Yes","2015","2010","2012","2005",
"BDI","Burundi","Burundi","Republic of Burundi","BI","Burundi franc","","Sub-Saharan Africa","Low income","BI","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2008","Malaria Indicator Survey (MIS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2006","","","","2012","2000",
"BEL","Belgium","Belgium","Kingdom of Belgium","BE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","BE","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 2000","Yes","2010","2009","2012","2007",
"BEN","Benin","Benin","Republic of Benin","BJ","CFA franc","","Sub-Saharan Africa","Low income","BJ","1985","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","1992","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2013","Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011","","2011/12","","2010","2001",
"BFA","Burkina Faso","Burkina Faso","Burkina Faso","BF","CFA franc","","Sub-Saharan Africa","Low income","BF","1999","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1992–93","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2006","Demographic and Health Survey (DHS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2009","","2010","","2011","2001",
"BGD","Bangladesh","Bangladesh","People's Republic of Bangladesh","BD","Bangladeshi taka","Fiscal year end: June 30; reporting period for national accounts data: FY.","South Asia","Low income","BD","1995/96","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2011","Integrated household survey (IHS), 2010","","2008","","2007","2008",
"BGR","Bulgaria","Bulgaria","Republic of Bulgaria","BG","Bulgarian lev","April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.","Europe & Central Asia","Upper middle income","BG","Original chained constant price data are rescaled.","2002","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1978–89, 1991–92","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Living Standards Measurement Study Survey (LSMS), 2007","Expenditure survey/budget survey (ES/BS), 2007","Yes","2010","2010","2012","2009",
"BHR","Bahrain","Bahrain","Kingdom of Bahrain","BH","Bahraini dinar","","Middle East & North Africa","High income: nonOECD","BH","1985","","Value added at producer prices (VAP)","","","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","","","Yes","","","2011","2003",
"BHS","The Bahamas","Bahamas, The","Commonwealth of The Bahamas","BS","Bahamian dollar","","Latin America & Caribbean","High income: nonOECD","BS","2006","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","","","","","","2012","",
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina","BA","Bosnia and Herzegovina convertible mark","","Europe & Central Asia","Upper middle income","BA","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2013","Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007","Yes","","","2012","2009",
"BLR","Belarus","Belarus","Republic of Belarus","BY","Belarusian rubel","","Europe & Central Asia","Upper middle income","BY","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012","Yes","","2009","2012","2000",
"BLZ","Belize","Belize","Belize","BZ","Belize dollar","","Latin America & Caribbean","Upper middle income","BZ","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2011","","","","2012","2000",
"BMU","Bermuda","Bermuda","The Bermudas","BM","Bermuda dollar","","North America","High income: nonOECD","BM","2006","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","","","2010","","","Yes","","","2012","",
"BOL","Bolivia","Bolivia","Plurinational State of Bolivia","BO","Bolivian Boliviano","","Latin America & Caribbean","Lower middle income","BO","1990","","Value added at basic prices (VAB)","Blend","HIPC","Country uses the 1968 System of National Accounts methodology.","1960–85","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2008","Integrated household survey (IHS), 2009","","2013","2001","2012","2000",
"BRA","Brazil","Brazil","Federative Republic of Brazil","BR","Brazilian real","","Latin America & Caribbean","Upper middle income","BR","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012","","2006","2010","2012","2006",
"BRB","Barbados","Barbados","Barbados","BB","Barbados dollar","","Latin America & Caribbean","High income: nonOECD","BB","1974","","Value added at basic prices (VAB)","","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2012","","Yes","2010. Population and Housing Census.","","2012","2005",
"BRN","Brunei","Brunei Darussalam","Brunei Darussalam","BN","Brunei dollar","","East Asia & Pacific","High income: nonOECD","BN","2000","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","2005","","","Special trade system","","General Data Dissemination System (GDDS)","2011","","","Yes","","","2012","1994",
"BTN","Bhutan","Bhutan","Kingdom of Bhutan","BT","Bhutanese ngultrum","April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.","South Asia","Lower middle income","BT","2000","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2005","Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2012","","2009","","2011","2008",
"BWA","Botswana","Botswana","Republic of Botswana","BW","Botswana pula","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.","Sub-Saharan Africa","Upper middle income","BW","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 1988","Expenditure survey/budget survey (ES/BS), 2009/10","","2011. Population and Housing Census.","2010","2012","2000",
"CAF","Central African Republic","Central African Republic","Central African Republic","CF","CFA franc","","Sub-Saharan Africa","Low income","CF","2000","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2003","Multiple Indicator Cluster Survey (MICS), 2010","Priority survey (PS), 2008","","","","2011","2005",
"CAN","Canada","Canada","Canada","CA","Canadian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","North America","High income: OECD","CA","2005","","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Labor force survey (LFS), 2000","Yes","2011","2010","2012","1986",
"CHE","Switzerland","Switzerland","Switzerland","CH","Swiss franc","","Europe & Central Asia","High income: OECD","CH","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Expenditure survey/budget survey (ES/BS), 2000","Yes","2008","2007","2012","2000",
"CHI","Channel Islands","Channel Islands","Channel Islands","","Pound sterling","","Europe & Central Asia","High income: nonOECD","JG","2003","2007","Value added at basic prices (VAB)","","","Country uses the 1968 System of National Accounts methodology.","","","","","","","","Guernsey: 2009; Jersey: 2011.","","","Yes. Vital registration for Guernsey and Jersey.","","","","",
"CHL","Chile","Chile","Republic of Chile","CL","Chilean peso","","Latin America & Caribbean","High income: OECD","CL","2008","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2012","","Integrated household survey (IHS), 2011","Yes","2007","2008","2012","2007",
"CHN","China","China","People's Republic of China","CN","Chinese yuan","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.","East Asia & Pacific","Upper middle income","CN","2000","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1978–93","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","National Sample Survey on Population Change (NSS), 2007","Integrated household survey (IHS), 2008","","2007","2007","2012","2005",
"CIV","Côte d'Ivoire","Côte d'Ivoire","Republic of Côte d'Ivoire","CI","CFA franc","","Sub-Saharan Africa","Lower middle income","CI","1996","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","1998","Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2008","","2014","","2012","2005",
"CMR","Cameroon","Cameroon","Republic of Cameroon","CM","CFA franc","","Sub-Saharan Africa","Lower middle income","CM","2000","","Value added at basic prices (VAB)","Blend","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2005","Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2007","","","2002","2012","2000",
"COD","Dem. Rep. Congo","Congo, Dem. Rep.","Democratic Republic of the Congo","CD","Congolese franc","Based on INS (2000-09) and IMF (2010-13) data, national accounts data were revised for 2000 onward; the base year changed to 2005.","Sub-Saharan Africa","Low income","ZR","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1999–2001","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","1984","Demographic and Health Survey (DHS), 2013","1-2-3 survey (1-2-3), 2004/05","","","","","2005",
"COG","Congo","Congo, Rep.","Republic of Congo","CG","CFA franc","April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.","Sub-Saharan Africa","Lower middle income","CG","1990","","Value added at producer prices (VAP)","Blend","HIPC","Country uses the 1968 System of National Accounts methodology.","1993","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2007","Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011","","2013","2009","2010","2002",
"COL","Colombia","Colombia","Republic of Colombia","CO","Colombian peso","","Latin America & Caribbean","Upper middle income","CO","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1992–94","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2006","Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012","","2013","2010","2012","2000",
"COM","Comoros","Comoros","Union of the Comoros","KM","Comorian franc","","Sub-Saharan Africa","Low income","KM","1990","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","","Actual","Special trade system","","General Data Dissemination System (GDDS)","2003","Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2004","","","","2009","1999",
"CPV","Cabo Verde","Cabo Verde","Republic of Cabo Verde","CV","Cabo Verde escudo","Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.","Sub-Saharan Africa","Lower middle income","CV","2007","","Value added at producer prices (VAP)","Blend","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2005","Expenditure survey/budget survey (ES/BS), 2007","Yes","2014","","2012","2001",
"CRI","Costa Rica","Costa Rica","Republic of Costa Rica","CR","Costa Rican colon","","Latin America & Caribbean","Upper middle income","CR","1991","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012","Yes","2014","2010","2012","1997",
"CUB","Cuba","Cuba","Republic of Cuba","CU","Cuban peso","","Latin America & Caribbean","Upper middle income","CU","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","","2012","Multiple Indicator Cluster Survey (MICS), 2010/11","","Yes","","","2006","2007",
"CUW","Curaçao","Curaçao","Curaçao","CW","Netherlands Antilles guilder","","Latin America & Caribbean","High income: nonOECD","CW","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","","","","","","","","",
"CYM","Cayman Islands","Cayman Islands","Cayman Islands","KY","Cayman Islands dollar","","Latin America & Caribbean","High income: nonOECD","KY","2007","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","General trade system","","","2010","","","Yes","","","","",
"CYP","Cyprus","Cyprus","Republic of Cyprus","CY","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: nonOECD","CY","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","","Yes","2010","2010","2012","2009",
"CZE","Czech Republic","Czech Republic","Czech Republic","CZ","Czech koruna","","Europe & Central Asia","High income: OECD","CZ","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey (WHS), 2003","Income survey (IS), 1996","Yes","2010","2007","2012","2007",
"DEU","Germany","Germany","Federal Republic of Germany","DE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","DE","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 2000","Yes","2010","2009","2012","2007",
"DJI","Djibouti","Djibouti","Republic of Djibouti","DJ","Djibouti franc","","Middle East & North Africa","Lower middle income","DJ","1990","","Value added at basic prices (VAB)","IDA","","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2006","Priority survey (PS), 2002","","","","2009","2000",
"DMA","Dominica","Dominica","Commonwealth of Dominica","DM","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","Upper middle income","DM","2006","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","","","Yes","","","2012","2004",
"DNK","Denmark","Denmark","Kingdom of Denmark","DK","Danish krone","","Europe & Central Asia","High income: OECD","DK","2005","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income tax registers (ITR), 1997","Yes","2010","2009","2012","2009",
"DOM","Dominican Republic","Dominican Republic","Dominican Republic","DO","Dominican peso","","Latin America & Caribbean","Upper middle income","DO","1991","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2012","","2012/13","","2012","2005",
"DZA","Algeria","Algeria","People's Democratic Republic of Algeria","DZ","Algerian dinar","","Middle East & North Africa","Upper middle income","DZ","1980","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2008","Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995","","","","2012","2001",
"EAP","East Asia & Pacific (developing only)","East Asia & Pacific","East Asia & Pacific (developing only)","4E","","East Asia and Pacific regional aggregate (does not include high-income economies).","","","4E","","","","","","","","","","","","","","","","","","","","","",
"EAS","East Asia & Pacific (all income levels)","East Asia & Pacific (all income levels)","East Asia & Pacific (all income levels)","Z4","","East Asia and Pacific regional aggregate (including high-income economies).","","","Z4","","","","","","","","","","","","","","","","","","","","","",
"ECA","Europe & Central Asia (developing only)","Europe & Central Asia","Europe & Central Asia (developing only)","7E","","Europe and Central Asia regional aggregate (does not include high-income economies).","","","7E","","","","","","","","","","","","","","","","","","","","","",
"ECS","Europe & Central Asia (all income levels)","Europe & Central Asia (all income levels)","Europe & Central Asia (all income levels)","Z7","","Europe and Central Asia regional aggregate (including high-income economies).","","","Z7","","","","","","","","","","","","","","","","","","","","","",
"ECU","Ecuador","Ecuador","Republic of Ecuador","EC","U.S. dollar","National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.","Latin America & Caribbean","Upper middle income","EC","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2010","Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012","","2013/15","2008","2012","2005",
