"CountryCode","SeriesCode","DESCRIPTION",
"ISL","SP.POP.GROW","Data sources : Eurostat",
"ISR","SP.POP.GROW","Data sources: Central Bureau of Statistics",
"ISR","SP.POP.TOTL","Data sources : Central Bureau of Statistics",
"ITA","SP.POP.TOTL","Data sources : Eurostat",
"ITA","SP.POP.GROW","Data sources : Eurostat",
"JAM","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"JAM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"JOR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"JOR","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"JPN","SP.POP.GROW","Data sources: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report",
"JPN","SP.POP.TOTL","Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report",
"KAZ","SP.POP.TOTL","Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects",
"KAZ","SP.POP.GROW","Data sources: Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects",
"KEN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"KEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KGZ","SP.POP.TOTL","Data sources : National Statistical Committee, United Nations World Population Prospects",
"KGZ","SP.POP.GROW","Data sources: National Statistical Committee, United Nations World Population Prospects",
"KHM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"KHM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KIR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KIR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"KNA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"KNA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"KOR","SP.POP.TOTL","Data sources : Korean Statistical Information Service",
"KOR","SP.POP.GROW","Data sources: Korean Statistical Information Service",
"KWT","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"KWT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LAO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LAO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LBN","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"LBN","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"LBN","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"LBN","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"LBN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBN","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"LBN","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"LBN","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"LBR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LBY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LBY","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"LBY","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"LBY","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"LBY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LBY","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"LBY","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"LBY","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"LCA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LCA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LIE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LIE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LKA","SP.POP.TOTL","Data sources : Registrar General's Department, Department of Census and Statistics",
"LKA","SP.POP.GROW","Data sources: Registrar General's Department, Department of Census and Statistics",
"LSO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"LSO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"LTU","SP.POP.TOTL","Data sources : Eurostat",
"LTU","SP.POP.GROW","Data sources : Eurostat",
"LUX","SP.POP.GROW","Data sources: Eurostat",
"LUX","SP.POP.TOTL","Data sources : Eurostat",
"LVA","SP.POP.TOTL","Data sources : Eurostat",
"LVA","SP.POP.GROW","Data sources : Eurostat",
"MAC","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MAC","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MAR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MAR","NY.GDP.PCAP.KD","Includes Former Spanish Sahara.",
"MAR","SP.POP.1564.TO.ZS","Morocco only. (Excluding former Spanish Sahara)",
"MAR","NY.GDP.PCAP.CD","Includes Former Spanish Sahara.",
"MAR","NY.GDP.PCAP.PP.CD","Includes Former Spanish Sahara.",
"MAR","SP.POP.0014.TO.ZS","Morocco only. (Excluding former Spanish Sahara)",
"MAR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MAR","NY.GDP.PCAP.PP.KD","Includes Former Spanish Sahara.",
"MAR","SP.POP.TOTL.FE.ZS","Morocco only. (Excluding former Spanish Sahara)",
"MAR","SP.POP.TOTL.MA.ZS","Morocco only. (Excluding former Spanish Sahara)",
"MAR","NY.GNP.PCAP.CD","Includes Former Spanish Sahara.",
"MAR","NY.GNP.PCAP.PP.CD","Includes Former Spanish Sahara.",
"MCO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MCO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MDA","SP.POP.TOTL","Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",
"MDA","NY.GDP.PCAP.CD","Excludes Transnistria.",
"MDA","SP.POP.1564.TO.ZS","Including Transnistria.",
"MDA","NY.GDP.PCAP.KD","Excludes Transnistria.",
"MDA","SP.POP.1564.TO","Derived using ratio of age group from WPP and World Bank population.",
"MDA","SP.POP.1564.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"MDA","SP.POP.0014.TO.ZS","Including Transnistria.",
"MDA","NY.GDP.PCAP.PP.CD","Excludes Transnistria.",
"MDA","SP.POP.0014.TO","Derived using ratio of age group from WPP and World Bank population.",
"MDA","SP.POP.1564.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"MDA","SP.POP.GROW","Data sources: National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects 2010 Revision's growth rates of whole Moldova.",
"MDA","SP.POP.0014.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"MDA","NY.GNP.PCAP.PP.CD","Excludes Transnistria.",
"MDA","NY.GNP.PCAP.CD","Excludes Transnistria.",
"MDA","SP.POP.TOTL.MA.ZS","Excluding Transnistria.",
"MDA","SP.POP.TOTL.FE.ZS","Excluding Transnistria.",
"MDA","NY.GDP.PCAP.PP.KD","Excludes Transnistria.",
"MDA","SP.POP.0014.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"MDG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MDG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MDV","SP.POP.TOTL","Data sources : For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population.",
"MDV","SP.POP.GROW","Data sources: For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population.",
"MEX","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MEX","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MHL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MKD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MKD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MLI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MLI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MLT","SP.POP.GROW","Data sources : Eurostat",
"MLT","SP.POP.TOTL","Data sources : Eurostat",
"MMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MMR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MNE","SP.POP.GROW","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards.",
"MNE","SP.POP.TOTL","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards.",
"MNG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MNG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MNP","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MNP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MOZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MOZ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MRT","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"MRT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"MUS","SP.POP.TOTL","Data sources : Statistics Mauritius, United Nations World Population Prospects",
"MUS","SP.POP.1564.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"MUS","SP.POP.1564.TO","Derived using ratio of age group from WPP and World Bank population.",
"MUS","SP.POP.1564.TO.ZS","Including Agalega and St. Brandon.",
"MUS","SP.POP.1564.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
