"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"BAR.NOED.3034.ZS","Attainment","Barro-Lee: Percentage of population age 30-34 with no education","Percentage of population age 30-34 with no education","Percentage of population age 30-34 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.3539.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 35-39 with no education","Percentage of female population age 35-39 with no education","Percentage of female population age 35-39 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.3539.ZS","Attainment","Barro-Lee: Percentage of population age 35-39 with no education","Percentage of population age 35-39 with no education","Percentage of population age 35-39 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.4044.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 40-44 with no education","Percentage of female population age 40-44 with no education","Percentage of female population age 40-44 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.4044.ZS","Attainment","Barro-Lee: Percentage of population age 40-44 with no education","Percentage of population age 40-44 with no education","Percentage of population age 40-44 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.4549.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 45-49 with no education","Percentage of female population age 45-49 with no education","Percentage of female population age 45-49 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.4549.ZS","Attainment","Barro-Lee: Percentage of population age 45-49 with no education","Percentage of population age 45-49 with no education","Percentage of population age 45-49 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.5054.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 50-54 with no education","Percentage of female population age 50-54 with no education","Percentage of female population age 50-54 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.5054.ZS","Attainment","Barro-Lee: Percentage of population age 50-54 with no education","Percentage of population age 50-54 with no education","Percentage of population age 50-54 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.5559.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 55-59 with no education","Percentage of female population age 55-59 with no education","Percentage of female population age 55-59 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.5559.ZS","Attainment","Barro-Lee: Percentage of population age 55-59 with no education","Percentage of population age 55-59 with no education","Percentage of population age 55-59 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.6064.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 60-64 with no education","Percentage of female population age 60-64 with no education","Percentage of female population age 60-64 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.6064.ZS","Attainment","Barro-Lee: Percentage of population age 60-64 with no education","Percentage of population age 60-64 with no education","Percentage of population age 60-64 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.6569.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 65-69 with no education","Percentage of female population age 65-69 with no education","Percentage of female population age 65-69 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.6569.ZS","Attainment","Barro-Lee: Percentage of population age 65-69 with no education","Percentage of population age 65-69 with no education","Percentage of population age 65-69 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.7074.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 70-74 with no education","Percentage of female population age 70-74 with no education","Percentage of female population age 70-74 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.7074.ZS","Attainment","Barro-Lee: Percentage of population age 70-74 with no education","Percentage of population age 70-74 with no education","Percentage of population age 70-74 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.75UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 75+ with no education","Percentage of female population age 75+ with no education","Percentage of female population age 75+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.75UP.ZS","Attainment","Barro-Lee: Percentage of population age 75+ with no education","Percentage of population age 75+ with no education","Percentage of population age 75+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.1519","Attainment","Barro-Lee: Population in thousands, age 15-19, total","Population in thousands, 15-19, total is the total population of 15-19 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 15-19, total is the total population of 15-19 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.1519.FE","Attainment","Barro-Lee: Population in thousands, age 15-19, female","Population in thousands, 15-19, female is the female population of 15-19 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 15-19, female is the female population of 15-19 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.15UP","Attainment","Barro-Lee: Population in thousands, age 15+, total","Population in thousands, 15+, total is the total population over age 15 in thousands estimated by Barro-Lee.","Population in thousands, age 15+, total is the total population over age 15 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.15UP.FE","Attainment","Barro-Lee: Population in thousands, age 15+, female","Population in thousands, 15+, female is the female population over age 15 in thousands estimated by Barro-Lee.","Population in thousands, age 15+, female is the female population over age 15 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.2024","Attainment","Barro-Lee: Population in thousands, age 20-24, total","Population in thousands, 20-24, total is the total population of 20-24 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 20-24, total is the total population of 20-24 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.2024.FE","Attainment","Barro-Lee: Population in thousands, age 20-24, female","Population in thousands, 20-24, female is the female population of 20-24 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 20-24, female is the female population of 20-24 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.2529","Attainment","Barro-Lee: Population in thousands, age 25-29, total","Population in thousands, 25-29, total is the total population of 25-29 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 25-29, total is the total population of 25-29 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.2529.FE","Attainment","Barro-Lee: Population in thousands, age 25-29, female","Population in thousands, 25-29, female is the female population of 25-29 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 25-29, female is the female population of 25-29 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.25UP","Attainment","Barro-Lee: Population in thousands, age 25+, total","Population in thousands, 25+, total is the total population over age 25 in thousands estimated by Barro-Lee.","Population in thousands, age 25+, total is the total population over age 25 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.25UP.FE","Attainment","Barro-Lee: Population in thousands, age 25+, female","Population in thousands, 25+, female is the female population over age 25 in thousands estimated by Barro-Lee.","Population in thousands, age 25+, female is the female population over age 25 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.3034","Attainment","Barro-Lee: Population in thousands, age 30-34, total","Population in thousands, 30-34, total is the total population of 30-34 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 30-34, total is the total population of 30-34 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.3034.FE","Attainment","Barro-Lee: Population in thousands, age 30-34, female","Population in thousands, 30-34, female is the female population of 30-34 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 30-34, female is the female population of 30-34 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.3539","Attainment","Barro-Lee: Population in thousands, age 35-39, total","Population in thousands, 35-39, total is the total population of 35-39 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 35-39, total is the total population of 35-39 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.3539.FE","Attainment","Barro-Lee: Population in thousands, age 35-39, female","Population in thousands, 35-39, female is the female population of 35-39 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 35-39, female is the female population of 35-39 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.4044","Attainment","Barro-Lee: Population in thousands, age 40-44, total","Population in thousands, 40-44, total is the total population of 40-44 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 40-44, total is the total population of 40-44 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.4044.FE","Attainment","Barro-Lee: Population in thousands, age 40-44, female","Population in thousands, 40-44, female is the female population of 40-44 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 40-44, female is the female population of 40-44 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.4549","Attainment","Barro-Lee: Population in thousands, age 45-49, total","Population in thousands, 45-49, total is the total population of 45-49 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 45-49, total is the total population of 45-49 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.4549.FE","Attainment","Barro-Lee: Population in thousands, age 45-49, female","Population in thousands, 45-49, female is the female population of 45-49 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 45-49, female is the female population of 45-49 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.5054","Attainment","Barro-Lee: Population in thousands, age 50-54, total","Population in thousands,50-54, total is the total population of 50-54 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 50-54, total is the total population of 50-54 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.5054.FE","Attainment","Barro-Lee: Population in thousands, age 50-54, female","Population in thousands,50-54, female is the female population of 50-54 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 50-54, female is the female population of 50-54 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.5559","Attainment","Barro-Lee: Population in thousands, age 55-59, total","Population in thousands,55-59, total is the total population of 55-59 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 55-59, total is the total population of 55-59 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.5559.FE","Attainment","Barro-Lee: Population in thousands, age 55-59, female","Population in thousands,55-59, female is the female population of 55-59 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 55-59, female is the female population of 55-59 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.6064","Attainment","Barro-Lee: Population in thousands, age 60-64, total","Population in thousands,60-64, total is the total population of 60-64 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 60-64, total is the total population of 60-64 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.6064.FE","Attainment","Barro-Lee: Population in thousands, age 60-64, female","Population in thousands,60-64, female is the female population of 60-64 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 60-64, female is the female population of 60-64 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.6569","Attainment","Barro-Lee: Population in thousands, age 65-69, total","Population in thousands,65-69, total is the total population of 65-69 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 65-69, total is the total population of 65-69 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.6569.FE","Attainment","Barro-Lee: Population in thousands, age 65-69, female","Population in thousands,65-69, female is the female population of 65-69 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 65-69, female is the female population of 65-69 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.7074","Attainment","Barro-Lee: Population in thousands, age 70-74, total","Population in thousands,70-74, total is the total population of 70-74 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 70-74, total is the total population of 70-74 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.7074.FE","Attainment","Barro-Lee: Population in thousands, age 70-74, female","Population in thousands,70-74, female is the female population of 70-74 year olds in thousands estimated by Barro-Lee.","Population in thousands, age 70-74, female is the female population of 70-74 year olds in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.75UP","Attainment","Barro-Lee: Population in thousands, age 75+, total","Population in thousands,75+, total is the total population over age 75 in thousands estimated by Barro-Lee.","Population in thousands, age 75+, total is the total population over age 75 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.POP.75UP.FE","Attainment","Barro-Lee: Population in thousands, age 75+, female","Population in thousands,75+, female is the female population over age 75 in thousands estimated by Barro-Lee.","Population in thousands, age 75+, female is the female population over age 75 in thousands estimated by Barro-Lee.","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.1519.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary","Percentage of female population age 15-19 with primary schooling. Completed Primary","Percentage of female population age 15-19 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.1519.ZS","Attainment","Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary","Percentage of population age 15-19 with primary schooling. Completed Primary","Percentage of population age 15-19 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.15UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary","Percentage of female population age 15+ with primary schooling. Completed Primary","Percentage of female population age 15+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.15UP.ZS","Attainment","Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary","Percentage of population age 15+ with primary schooling. Completed Primary","Percentage of population age 15+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.2024.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary","Percentage of female population age 20-24 with primary schooling. Completed Primary","Percentage of female population age 20-24 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.2024.ZS","Attainment","Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary","Percentage of population age 20-24 with primary schooling. Completed Primary","Percentage of population age 20-24 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.2529.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary","Percentage of female population age 25-29 with primary schooling. Completed Primary","Percentage of female population age 25-29 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.2529.ZS","Attainment","Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary","Percentage of population age 25-29 with primary schooling. Completed Primary","Percentage of population age 25-29 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.25UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary","Percentage of female population age 25+ with primary schooling. Completed Primary","Percentage of female population age 25+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.25UP.ZS","Attainment","Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary","Percentage of population age 25+ with primary schooling. Completed Primary","Percentage of population age 25+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.3034.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary","Percentage of female population age 30-34 with primary schooling. Completed Primary","Percentage of female population age 30-34 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.3034.ZS","Attainment","Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary","Percentage of population age 30-34 with primary schooling. Completed Primary","Percentage of population age 30-34 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.3539.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary","Percentage of female population age 35-39 with primary schooling. Completed Primary","Percentage of female population age 35-39 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.3539.ZS","Attainment","Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary","Percentage of population age 35-39 with primary schooling. Completed Primary","Percentage of population age 35-39 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.4044.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary","Percentage of female population age 40-44 with primary schooling. Completed Primary","Percentage of female population age 40-44 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.4044.ZS","Attainment","Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary","Percentage of population age 40-44 with primary schooling. Completed Primary","Percentage of population age 40-44 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.4549.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary","Percentage of female population age 45-49 with primary schooling. Completed Primary","Percentage of female population age 45-49 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.4549.ZS","Attainment","Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary","Percentage of population age 45-49 with primary schooling. Completed Primary","Percentage of population age 45-49 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.5054.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary","Percentage of female population age 50-54 with primary schooling. Completed Primary","Percentage of female population age 50-54 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.5054.ZS","Attainment","Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary","Percentage of population age 50-54 with primary schooling. Completed Primary","Percentage of population age 50-54 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.5559.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary","Percentage of female population age 55-59 with primary schooling. Completed Primary","Percentage of female population age 55-59 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.5559.ZS","Attainment","Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary","Percentage of population age 55-59 with primary schooling. Completed Primary","Percentage of population age 55-59 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.6064.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary","Percentage of female population age 60-64 with primary schooling. Completed Primary","Percentage of female population age 60-64 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.6064.ZS","Attainment","Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary","Percentage of population age 60-64 with primary schooling. Completed Primary","Percentage of population age 60-64 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.6569.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary","Percentage of female population age 65-69 with primary schooling. Completed Primary","Percentage of female population age 65-69 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.6569.ZS","Attainment","Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary","Percentage of population age 65-69 with primary schooling. Completed Primary","Percentage of population age 65-69 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.7074.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary","Percentage of female population age 70-74 with primary schooling. Completed Primary","Percentage of female population age 70-74 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.7074.ZS","Attainment","Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary","Percentage of population age 70-74 with primary schooling. Completed Primary","Percentage of population age 70-74 with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.CMPT.75UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary","Percentage of female population age 75+ with primary schooling. Completed Primary","Percentage of female population age 75+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
